"Count","Name","Edition","Card Number","Foil","Condition","Language"
"4","Touch the Spirit Realm","Kamigawa: Neon Dynasty","40","","Near Mint","English"
"1","Traveler's Amulet","Double Masters 2022","316","","Near Mint","English"
"1","Treasure Hunter","Tenth Edition","52","","Near Mint","English"
"3","Two-Handed Axe // Sweeping Cleave","Commander Legends: Battle for Baldur's Gate","203","","Near Mint","English"
"1","Tymora's Invoker","Commander Legends: Battle for Baldur's Gate","101","","Near Mint","English"
"1","Undercover Operative","Streets of New Capenna","63","","Near Mint","English"
"3","Underdark Basilisk","Adventures in the Forgotten Realms","208","","Near Mint","English"
"1","Underdark Explorer","Commander Legends: Battle for Baldur's Gate","154","","Near Mint","English"
"3","Vampire Spawn","Adventures in the Forgotten Realms","123","","Near Mint","English"
"1","Varis, Silverymoon Ranger","Adventures in the Forgotten Realms","209","","Near Mint","English"
"1","Vengeful Ancestor","Adventures in the Forgotten Realms Commander","35","","Near Mint","English"
"1","Venom Connoisseur","Streets of New Capenna","161","","Near Mint","English"
"1","Veteran Soldier","Commander Legends: Battle for Baldur's Gate","48","","Near Mint","English"
"1","Voice of the Vermin","Streets of New Capenna","163","","Near Mint","English"
"1","Voldaren Epicure","Innistrad: Crimson Vow","308","","Near Mint","English"
"2","Vortex Runner","Strixhaven: School of Mages","60","","Near Mint","English"
"2","Warm Welcome","Streets of New Capenna","164","","Near Mint","English"
"1","Warstorm Surge","Commander Anthology Volume II","129","","Near Mint","English"
"1","Whims of the Fates","Born of the Gods","115","Foil","Near Mint","English"
"1","Widespread Thieving","Streets of New Capenna","428","","Near Mint","English"
"1","Wild Endeavor","Adventures in the Forgotten Realms Commander","43","","Near Mint","English"
"2","Wild Shape","Adventures in the Forgotten Realms","212","","Near Mint","English"
"1","Wingshield Agent","Streets of New Capenna","64","","Near Mint","English"
"1","Winter Eladrin","Commander Legends: Battle for Baldur's Gate","104","","Near Mint","English"
"1","Witness Protection","Streets of New Capenna","66","","Near Mint","English"
"3","Witty Roastmaster","Streets of New Capenna","131","","Near Mint","English"
"1","Wizard Class","The List","765","","Near Mint","English"
"1","Workshop Warchief","Streets of New Capenna Promo Pack","165p","Foil","Near Mint","English"
"1","Workshop Warchief","Streets of New Capenna Promo Pack","165p","Foil","Near Mint","English"
"2","Wormhole Serpent","Strixhaven: School of Mages","62","","Near Mint","English"
"1","Wulfgar of Icewind Dale","Adventures in the Forgotten Realms Commander","56","","Near Mint","English"
"1","Wyrm's Crossing Patrol","Commander Legends: Battle for Baldur's Gate","51","","Near Mint","English"
"1","You Find a Cursed Idol","Adventures in the Forgotten Realms","213","","Near Mint","English"
"1","You Happen On a Glade","Adventures in the Forgotten Realms","214","","Near Mint","English"
"1","You Meet in a Tavern","Adventures in the Forgotten Realms","215","","Near Mint","English"
"1","Young Red Dragon // Bathe in Gold","Commander Legends: Battle for Baldur's Gate","210","","Near Mint","English"
"1","Your Temple Is Under Attack","Commander Legends: Battle for Baldur's Gate","52","","Near Mint","English"
